text_id,text_kr,text_en,text_vi,text_ms,text_pt,text_es,annotation
2000227,트리니다드 토바고,Trinidad and Tobago,Trinidad và Tobago,Trinidad dan Tobago,Trinidad e Tobago,Trinidad y Tobago,
2000228,파나마,Panama,Panama,Panama,Panamá,Panamá,
2000229,파라과이,Paraguay,Paraguay,Paraguay,Paraguai,Paraguay,
2000230,파키스탄,Pakistan,Cộng hòa Hồi giáo Pakistan,Republik Islam Pakistan,República Islâmica do Paquistão,República Islámica de Pakistán,
2000231,파푸아뉴기니,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua-Nova Guiné,Papúa Nueva Guinea,
2000232,팔라우,Palau,Palau,Palau,Palau,Palau,
2000233,팔레스타인,Palestine,Palestine,Palestin,Palestina,Palestina,
2000234,페로 제도,Faroe Islands,Quần đảo Faroe,Kepulauan Faroe,Ilhas Faroés,Islas Faroe,
2000235,페루,Peru,Peru,Peru,Peru,Perú,
2000236,포르투갈,Portugal,Bồ Đào Nha,Portugal,Portugal,Portugal,
2000237,포클랜드 제도,Falkland Islands,Quần đảo Falkland,Kepulauan Falkland,Ilhas Falkland,Islas Malvinas,
2000238,폴란드,Poland,Ba Lan,Poland,Polônia,Polonia,
2000239,푸에르토리코,Puerto Rico,Puerto Rico,Puerto Rico,Porto Rico,Puerto Rico,
2000240,프랑스,France,Pháp,Perancis,França,Francia,
2000241,프랑스령 기아나,French Guiana,Guyane,Guiana Perancis,Guiana Francesa,Guayana Francesa,
2000242,프랑스령 남방 및 남극 지역,French Southern Territories,Lãnh thổ phía Nam và Nam Cực thuộc Pháp,Wilayah Selatan dan Antartika Perancis,Territórios Austrais e Antárticos Franceses,Territorios Australes y Antárticos Franceses,
2000243,프랑스령 폴리네시아,French Polynesia,Polynésie thuộc Pháp,Polinesia Perancis,Polinésia Francesa,Polinesia Francesa,
2000244,피지,Fiji,Fiji,Fiji,Fiji,Fiji,
2000245,핀란드,Finland,Phần Lan,Finland,Finlândia,Finlandia,
2000246,필리핀,Philippines,Cộng hòa Philippines,Republik Filipina,República das Filipinas,República de Filipinas,
2000247,핏케언 제도,Pitcairn Islands,Quần đảo Pitcairn,Kepulauan Pitcairn,Ilhas Pitcairn,Islas Pitcairn,
2000248,허드 맥도널드 제도,Heard Island and McDonald Islands,Nghe nói Quần đảo McDonald,Kepulauan Heard McDonald,Ilhas McDonald ouvidas,Islas McDonald Heard,
2000249,헝가리,Hungary,Hungary,Hungary,Hungria,Hungría,
2000250,홍콩,Hong Kong,Hồng Kông,Hong Kong,Hong Kong,Hong Kong,
3000000,빨강색 포션,Red potion,Thuốc đỏ,Ramuan Merah,Poção Vermelha,Poción Roja,포션 아이템 이름
3000001,파랑색 포션,Blue potion,Thuốc màu xanh,Ramuan Biru,Poção Azul,Poción azul,
3000002,고대 지식의 포션,potion of ancient knowledge,Potion của kiến thức cổ đại,Ramuan Pengetahuan Purba,Poção do Conhecimento Ancestral,Poción de Conocimiento Antiguo,
3000003,고대 파랑새 포션,Ancient bluebird potion,Thuốc Bluebird cổ đại,Ramuan Bluebird Purba,Poção Antiga do Pássaro Azul,Poción de pájaro azul antiguo,
3000004,고대 물질 포션,Ancient substance potion,Thuốc gây nghiện cổ xưa,Ramuan Bahan Purba,Poção de Substância Ancestral,Poción de sustancia antigua,
3000005,고대의 마법 포션,Ancient magic potion,Thuốc ma thuật cổ đại,Ramuan Sihir Purba,Poção Mágica Ancestral,Poción mágica antigua,
3000006,고대의 생명 포션,Ancient life potion,Thuốc sự sống cổ đại,Ramuan Kehidupan Purba,Poção da Vida Antiga,Poción de vida antigua,
3000007,월광꽃 포션,Moonlight blossom potion,Thuốc hoa ánh trăng,Ramuan Bunga Cahaya Bulan,Poção da Flor do Luar,Poción de flor de luz lunar,
3000008,느와르 포션,Noir potion,Thuốc Noir,Ramuan Noir,Poção Noir,Poción Noir,
3000009,이끼 포션,Moss potion,Thuốc rêu,Ramuan Lumut,Poção de Musgo,Poción de musgo,
3000010,자수정 포션,Amethyst potion,Thuốc thạch anh tím,Ramuan Amethyst,Poção de Ametista,Poción de amatista,
3000011,지하수도 포션,Underground water potion,Thuốc nước ngầm,Ramuan Air Bawah Tanah,Poção de Água Subterrânea,Poción de agua subterránea,
3000012,비밀 포션,Secret potion,Thuốc bí mật,Ramuan Rahsia,Poção Secreta,Poción secreta,
3000013,핑크 스무디 포션,Pink smoothie potion,Thuốc sinh tố màu hồng,Ramuan Smoothie Merah Jambu,Poção de Smoothie Rosa,Poción de batido rosa,
3000014,핑크 탄산 펄 포션,Pink carbonated pearl potion,Lọ thuốc ngọc trai có ga màu hồng,Ramuan Mutiara Berkarbonat Merah Jambu,Poção de Pérola Carbonatada Rosa,Poción de perla carbonatada rosa,
3000015,인피니티 포션,Infinity potion,Thuốc vô cực,Ramuan Infinity,Poção do Infinito,Poción infinita,
3000016,핑크 펄 포션,Pink pearl potion,Lọ thuốc ngọc trai hồng,Ramuan Mutiara Merah Jambu,Poção de Pérola Rosa,Poción de perla rosa,
3000017,풀잎 향기 포션,Grassy scent potion,Thuốc mùi hương cỏ,Ramuan Bau Berumput,Poção de Cheiro de Grama,Poción de aroma herbáceo,
3000018,T-017 포션,T-017 potion,Thuốc T-017,Ramuan T-017,Poção T-017,T-017 Poción,
3000019,황금 아뮬렛 포션,Golden amulet potion,Lọ thuốc bùa hộ mệnh vàng,Ramuan Azimat Emas,Poção de Amuleto Dourado,Poción de amuleto dorado,
3000020,T-002 포션,T-002 potion,Thuốc T-002,Ramuan T-002,Poção T-002,T-002 Poción,
3000021,자율 기동 골렘 포션,Self-maneuvering golem potion,Thuốc Golem tự điều động,Ramuan Golem Manuver Sendiri,Poção de Golem Auto-Manobrável,Poción de gólem automaniobrable,
3000022,화염 포션,Flame potion,Thuốc ngọn lửa,Ramuan Api,Poção de Chamas,Poción de llamas,
3000023,분홍 탄산 포션,Pink carbonate potion,Lọ thuốc Carbonate màu hồng,Ramuan Karbonat Merah Jambu,Poção de Carbonato Rosa,Poción de carbonato rosa,
3000024,파란 탄산 포션,Blue carbonated potion,Thuốc có ga màu xanh,Ramuan Berkarbonat Biru,Poção Carbonatada Azul,Poción carbonatada azul,
3000025,성화 포션,Torch potion,Thuốc đuốc,Ramuan Obor,Poção da Tocha,Poción de antorcha,
3000026,■ 포션,■ potion,■ Thuốc,■ Ramuan,■ Poção,■ Poción,
3000027,□ 포션,□ potion,□ Potion,Ramuan □,□ Poção,Poción □,
3000028,냥냥 포션,Nyan potion,Thuốc Nyan,Ramuan Nyan,Poção Nyan,Poción Nyan,
3000029,새벽 햇살 포션,Dawn sunshine potion,Bình minh Sunshine Potion,Ramuan Cahaya Matahari Fajar,Poção do Sol do Amanhecer,Poción del sol del amanecer,
3000030,마법 연습생 포션,Magic trainee potion,Thuốc thực tập sinh ma thuật,Ramuan Pelatih Sihir,Poção Mágica de Trainee,Poción mágica de aprendiz,
3000031,숙련생 포션,Adept potion,Thuốc lão luyện,Ramuan Mahir,Poção do Adepto,Poción experta,
3000032,오크통 포션,Oak barrel potion,Thuốc thùng gỗ sồi,Ramuan Tong Oak,Poção de Barril de Carvalho,Poción de barril de roble,
3000033,절망 포션,Despair potion,Thuốc tuyệt vọng,Ramuan Keputusasaan,Poção do Desespero,Poción de desesperación,
3000034,고양이 방울 포션,Cat drops potion,Thuốc nhỏ mèo,Ramuan Titisan Kucing,Poção de Gotas de Gato,Poción de gotas de gato,
3000035,토파즈 포션,Topaz potion,Thuốc Topaz,Ramuan Topaz,Poção de Topázio,Poción de topacio,
3000036,플루라이트 포션,Flulite potion,Thuốc flulite,Ramuan Flulite,Poção Flulite,Poción de flauta,
3000037,루비 포션,Ruby potion,Thuốc Ruby,Ramuan Ruby,Poção de Rubi,Poción de rubí,
3000038,사파이어 포션,Sapphire potion,Thuốc Sapphire,Ramuan Nilam,Poção de Safira,Poción de zafiro,
3000039,버블팝 포션,Bubble pop potion,Thuốc bong bóng Pop,Ramuan Pop Gelembung,Poção de Estourar Bolhas,Poción de estallido de burbujas,
3000040,최고급 생명력 포션,Pinnacle health potion,Thuốc sức khỏe đỉnh cao,Ramuan Kesihatan Pinnacle,Poção de Saúde de Alto Nível,Poción de salud cumbre,
3000041,최고급 독 포션,Finest poison potion,Thuốc độc tốt nhất,Ramuan Racun Terbaik,Melhor Poção de Veneno,La mejor poción venenosa,
3000042,최고급 미지의 포션,The finest unknown potion,Thuốc tốt nhất chưa biết,Ramuan terbaik yang tidak diketahui,A melhor poção desconhecida,La mejor poción desconocida,
3000043,끓는 늪지대 포션,Boiling swamp potion,Thuốc đầm lầy sôi,Ramuan Paya Mendidih,Poção do Pântano Fervente,Poción de pantano hirviente,
3000044,타락 여왕 거미의 피 포션,Fallen queen spider potion,Thuốc máu của nhện nữ hoàng sa ngã,Ramuan Darah Labah-labah Ratu Jatuh,Poção de Sangue da Aranha Rainha Caída,Poción de sangre de la Reina Caída Araña,
3000045,하급 뱀파이어의 피 포션,Lesser vampire blood potion,Thuốc máu của ma cà rồng nhỏ hơn,Ramuan Darah Vampire Kecil,Poção de Sangue do Vampiro Menor,Poción de sangre del vampiro menor,
3000046,서큐버스의 꿈 포션,Succubus' dream potion,Thuốc mơ ước của Succubus,Ramuan Impian Succubus,Poção dos Sonhos da Súcubo,Poción del sueño de la súcubo,
3000047,연인의 사랑 포션,Lover's love potion,Lọ thuốc tình yêu của người yêu,Ramuan Cinta Kekasih,Poção do Amor do Amante,Poción de amor del amante,
3000048,악녀의 질투 포션,Wicked jealousy potion,Lọ thuốc ghen tuông của người phụ nữ độc ác,Ramuan Cemburu Wanita Jahat,Poção do Ciúme da Mulher Malvada,Poción de celos de la mujer malvada,
3000049,눈깔 괴물의 시야 포션,Snow monster's sight potion,Lọ thuốc thị giác của quái vật tuyết,Ramuan Penglihatan Raksasa Salji,Poção de Visão do Monstro da Neve,Poción de vista del monstruo de nieve,
3000050,수중 호흡 포션,Breathing potion,Thuốc thở nước,Ramuan Pernafasan Air,Poção de Respiração Aquática,Poción de respiración de agua,
3000051,강화된 수중 호흡 포션,Enforce breathing potion,Thuốc thở nước được trao quyền,Ramuan Pernafasan Air Diperkasakan,Poção de Respiração Aquática Energizada,Poción de respiración de agua potenciada,
3000052,아침 숲 내음 포션,Morning forest scent potion,Thuốc thơm rừng buổi sáng,Ramuan Bau Hutan Pagi,Poção Aromatizante da Floresta Matinal,Poción de aroma del bosque matutino,
3000053,원시 부족의 포션,Primal tribe potion,Thuốc của Bộ lạc Nguyên thủy,Ramuan Suku Primal,Poção da Tribo Primeva,Poción de la Tribu Primigenia,
3000054,침 포션,Saliva potion,Thuốc nước bọt,Ramuan Air Liur,Poção de Saliva,Poción de saliva,
3000055,생구리 알 포션,Forgish egg potion,Potion trứng đồng thô,Ramuan Telur Tembaga Mentah,Poção de Ovo de Cobre Cru,Poción de huevo de cobre crudo,
3000056,야광성 포션,Luminous potion,Thuốc phát sáng,Ramuan Bercahaya,Poção Luminosa,Poción luminosa,
3000057,10년 포션,10 Year potion,Thuốc 10 năm,Ramuan 10 Tahun,Poção de 10 anos,Poción de 10 años,
3000058,발광 버섯 샘물 포션,Luminescent mushroom potion,Thuốc nước suối nấm phát quang,Ramuan Air Mata Air Cendawan Bercahaya,Poção de Água da Fonte de Cogumelo Luminescente,Poción de agua de manantial de hongos luminiscentes,
3000059,마녀의 우물 포션,Witch's well potion,Thuốc phù thủy giếng,Ramuan Telaga Ahli Sihir,Poção do Poço da Bruxa,Poción del Pozo de la Bruja,
3000060,고독한 성당 포션,Lonely cathedral potion,Lonely Cathedral Potion,Ramuan Katedral Kesepian,Poção da Catedral Solitária,Poción de la Catedral Solitaria,
3000061,용암석 포션,Molten potion,Thuốc nóng chảy,Ramuan cair,Poção Derretida,Poción fundida,
3000062,엘프의 환영 포션,Elven's welcome potion,Thuốc ảo ảnh của Elven,Ramuan Ilusi Bunian,Poção de Ilusão dos Elfos,Poción de ilusión de los elfos,
3000063,여왕의 품격 포션,Queen's elegance potion,Lọ thuốc thanh lịch của Nữ hoàng,Ramuan Keanggunan Ratu,Poção de Elegância da Rainha,Poción de elegancia de la reina,
3000064,독거미 눈알 포션,Tarantula eyeball potion,Thuốc nhãn cầu Tarantula,Ramuan Bola Mata Tarantula,Poção do Globo Ocular da Tarântula,Poción de globo ocular de tarántula,
3000065,U-391 장난감 포션,U-391 Toy potion,Thuốc đồ chơi U-391,U-391 Ramuan Mainan,U-391 Poção de Brinquedo,U-391 Poción de juguete,
3000066,U-394 장난감 포션,U-394 Toy potion,Thuốc đồ chơi U-394,U-394 Ramuan Mainan,U-394 Poção de Brinquedo,U-394 Poción de juguete,
3000067,전기 포션,Electric potion,Thuốc điện,Ramuan Elektrik,Poção Elétrica,Poción eléctrica,
3000068,해양 포션,Ocean potion,Thuốc đại dương,Ramuan Lautan,Poção do Oceano,Poción oceánica,
3000069,룬 포션,Rune potion,Thuốc Rune,Ramuan Rune,Poção Rúnica,Poción rúnica,
3000070,별의 눈 포션,Star eye potion,Star Eye Potion,Ramuan Mata Bintang,Poção do Olho Estelar,Poción de ojo de estrella,
3000071,가엘의 눈물 포션,Gael's tears potion,Thuốc nước mắt của Gael,Ramuan Air Mata Gael,Poção das Lágrimas de Gael,Poción de lágrimas de Gael,
3000072,냉기 포션,Frost potion,Thuốc băng giá,Ramuan Frost,Poção de Gelo,Poción de escarcha,
3000073,눈꽃 결정 포션,Snowflake crystal potion,Lọ thuốc pha lê bông tuyết,Ramuan Kristal Kepingan Salji,Poção de Cristal Floco de Neve,Poción de cristal de copo de nieve,
3000074,거대 사슴벌레 포션,Giant stag beetle potion,Thuốc bọ cánh cứng khổng lồ,Ramuan Kumbang Rusa Gergasi,Poção do Besouro Veado Gigante,Poción de escarabajo ciervo gigante,
3000075,드워프의 비밀 포션,Dwarf's secret potion,Thuốc bí mật của người lùn,Ramuan Rahsia Kerdil,Poção Secreta do Anão,Poción secreta del enano,
3000076,감전 포션,Shock potion,Thuốc sốc,Ramuan Kejutan,Poção de Choque,Poción de choque,
3000077,순간이동 포션,Teleportation potion,Thuốc dịch chuyển tức thời,Ramuan Teleportasi,Poção de Teletransporte,Poción de teletransportación,
3000078,하급 화염 드래곤 포션,Lesser Flame dragon potion,Lesser Flame Dragon Potion,Ramuan Naga Api Kecil,Poção do Dragão da Chama Menor,Poción de dragón de llama menor,
3000079,어느 대부호의 포션,Potion of a great fortune,Thuốc của một vận may lớn,Ramuan Kekayaan Besar,Poção de uma Grande Fortuna,Poción de una gran fortuna,
3000080,화염 드래곤의 숨결 포션,Flame dragon's breath potion,Thuốc hơi thở của rồng lửa,Ramuan Nafas Naga Api,Poção do Sopro do Dragão Flamejante,Poción de aliento de dragón de llamas,
3000081,화염초 씨앗 포션,Fireweed seed potion,Thuốc hạt giống củi,Ramuan Benih Fireweed,Poção de Semente de Fireweed,Poción de semillas de Fireweed,
3000082,끓지 않는 포션,Non-boiling potion,Thuốc không đun sôi,Ramuan tidak mendidih,Poção que não ferve,Poción no hirviente,
3000083,얼지 않는 포션,Non-freezing potion,Thuốc không đông lạnh,Ramuan Bukan Pembekuan,Poção Não-Congelante,Poción no congelante,
3000084,별빛을 담은 호수 포션,Starlight lake potion,Starlight Lake Potion,Ramuan Tasik Cahaya Bintang,Poção do Lago da Luz das Estrelas,Poción del lago Starlight,
3000085,상급 뱀파이어 포션,Greater Vampire Potion,Thuốc ma cà rồng lớn hơn,Ramuan Vampire yang Lebih Besar,Poção Vampiro Maior,Poción de vampiro superior,
3000086,뱀파이어 로드 포션,Vampire Lord Potion,Lọ thuốc Chúa tể ma cà rồng,Ramuan Tuan Vampire,Poção do Lorde Vampiro,Poción del Señor de los Vampiros,
3000087,마룸 열매 포션,Marum Fruit Potion,Thuốc trái cây Marum,Ramuan Buah Marum,Poção de Frutas Marum,Poción de frutas Marum,
3000088,히소 열매 포션,Hiso Fruit Potion,Thuốc trái cây Hiso,Ramuan Buah Hiso,Poção de Frutas Hiso,Poción de frutas Hiso,
3000089,플룸 열매 포션,Plume Fruit Potion,Thuốc trái cây Plume,Ramuan Buah Plume,Poção de Fruta Pluma,Poción de frutas Plume,
3000090,히드 버섯 포션,Heath Mushroom Potion,Thuốc nấm Heath,Ramuan Cendawan Heath,Poção de Cogumelo Heath,Poción de hongos de brezo,
3000091,라디아 열매 포션,Radia Fruit Potion,Thuốc trái cây Radia,Ramuan Buah Radia,Poção de Frutas Radia,Poción de frutas Radia,
3000092,깨끗한 탄산 포션,Clean Carbonated Potion,Thuốc có ga sạch,Ramuan Berkarbonat Bersih,Poção Carbonatada Limpa,Poción carbonatada limpia,
3000093,모험가 포션,Adventurer's Potion,Thuốc của nhà thám hiểm,Ramuan Pengembara,Poção do Aventureiro,Poción del aventurero,
3000094,대형 모험가 포션,Large Adventurer's Potion,Thuốc thám hiểm lớn,Ramuan Pengembara Besar,Poção do Aventureiro Grande,Poción de aventurero grande,
3000095,리오의 속삭임 포션,Rio's Whisper Potion,Lọ thuốc thì thầm của Rio,Ramuan Bisikan Rio,Poção do Sussurro do Rio,Poción de susurro de Río,
3000096,흰색 포션,White Potion,Thuốc trắng,Ramuan Putih,Poção Branca,Poción blanca,
3000097,나오의 기다림 포션,Nao's Waiting Potion,Nao's Waiting Potion,Ramuan Menunggu Nao,Poção de Espera de Nao,Poción de espera de Nao,
3000098,밤의 초대 포션,Night's Invitation Potion,Lọ thuốc mời đêm,Ramuan Jemputan Malam,Poção de Convite da Noite,Poción de invitación de la noche,
3000099,검정 포션,Black Potion,Thuốc đen,Ramuan Hitam,Poção Negra,Poción Negra,
3000100,로하나 포션,Rohana Potion,Thuốc Rohana,Ramuan Rohana,Poção Rohana,Poción Rohana,
3000101,초록 포션,Green Potion,Thuốc xanh,Ramuan Hijau,Poção Verde,Poción verde,
3000102,엘른의 축복 포션,Eln's Blessing Potion,Eln's Blessing Potion,Ramuan Berkat Eln,Poção de Bênção de Eln,Poción de bendición de Eln,
5000000,빨강색 포션.,Red potion.,Thuốc đỏ.,Ramuan merah.,Poção vermelha.,Poción roja.,포션 아이템 설명
5000001,파랑색 포션.,Blue potion.,Thuốc màu xanh.,Ramuan biru.,Poção azul.,Poción azul.,
5000002,최초의 현자가 자신의 모든 지식을 전수하기 위해 만든 포션.,A potion created by the First Sage to impart all his knowledge.,Một lọ thuốc được tạo ra bởi Nhà hiền triết đầu tiên để truyền đạt tất cả kiến thức của mình.,Ramuan yang dicipta oleh Orang Bijak Pertama untuk menyampaikan semua pengetahuannya.,Uma poção criada pelo Primeiro Sábio para transmitir todo o seu conhecimento.,Una poción creada por el Primer Sabio para impartir todos sus conocimientos.,
5000003,최초로 느낀 감정을 담아 만들어진 포션.\n마시면 행복한 기분이 든다.,"A potionion created with emotion felt for the first time.\nWhen I drink it, I feel happy.",Một lọ thuốc được làm bằng cảm xúc mà bạn cảm thấy lần đầu tiên. \ n Uống nó làm cho bạn cảm thấy hạnh phúc.,Ramuan yang dibuat dengan perasaan yang anda rasai buat kali pertama.\nMeminumnya membuatkan anda berasa gembira.,Uma poção feita com os sentimentos que você sentiu pela primeira vez.\nBeber faz você se sentir feliz.,Una poción hecha con los sentimientos que sentiste por primera vez.\nBeberla te hace sentir feliz.,
5000004,최초로 식물과 광석을 섞어 만들어진 포션.\n끔찍한 맛이 난다.,The first potion created by mixing plants and ores.\nIt tastes terrible.,Thuốc đầu tiên được làm từ hỗn hợp thực vật và quặng. \ nNó có vị kinh khủng.,Ramuan pertama yang diperbuat daripada campuran tumbuhan dan bijih.\nRasanya mengerikan.,A primeira poção feita de uma mistura de plantas e minérios.\nTem um gosto horrível.,La primera poción hecha de una mezcla de plantas y minerales.\nTiene un sabor horrible.,
5000005,최초의 마법을 담아 만들어진 포션.\n고대의 마법을 사용할 수 있게 된다.,The first magical potion.\nCan use ancient magic.,Một lọ thuốc được làm bằng phép thuật đầu tiên.\nCó được quyền truy cập vào ma thuật cổ đại.,Ramuan yang dibuat dengan sihir pertama.\nMendapat akses kepada sihir purba.,Uma poção feita com a primeira magia.\nGanha acesso à magia antiga.,Una poción hecha con la primera magia.\nObtiene acceso a la magia antigua.,
5000006,"최초의 생명이 죽고 남긴 파편으로 만든 포션.\n새로운 생명을 받을 수도, 기존 생명을 뺏길 수도 있다.","A potion made from the shards left behind by the death of the first life.\nYou can receive a new life, or you can take away an old one.","Một lọ thuốc được làm từ những mảnh vỡ còn sót lại sau cái chết của kiếp sống đầu tiên. \ n Nó có thể nhận được một cuộc sống mới, hoặc nó có thể lấy đi một cuộc sống hiện có.","Ramuan yang diperbuat daripada serpihan yang ditinggalkan oleh kematian kehidupan pertama.\nIa boleh menerima kehidupan baru, atau ia boleh mengambil kehidupan yang sedia ada.","Uma poção feita a partir dos fragmentos deixados para trás pela morte da primeira vida.\nPode receber uma nova vida, ou pode tirar uma existente.","Una poción hecha de los fragmentos dejados por la muerte de la primera vida.\nPuede recibir una nueva vida, o puede quitar una existente.",
5000007,호수 위 달빛을 받고 핀 꽃을 담아 만든 포션.\n소원을 이루어준다.,A potion made with flowers blooming in the moonlight on the lake.\nMake a wish.,Một lọ thuốc được làm bằng hoa nở dưới ánh trăng trên hồ.\nGrants mong muốn.,Ramuan yang dibuat dengan bunga yang mekar di bawah cahaya bulan di tasik.\nGrants wishes.,Uma poção feita com flores desabrochando ao luar no lago.\nConcede desejos.,Una poción hecha con flores que florecen a la luz de la luna en el lago.\nConcede deseos.,
5000008,세상이 어두어 지는 포션.\n잿빛의 담배 맛이 느껴진다.,A potion that darkens the world.\nIt tastes like ashy tobacco.,Một lọ thuốc làm tối tăm thế giới.\nTôi có thể nếm được vị tro của thuốc lá.,Ramuan yang menggelapkan dunia.\nSaya boleh merasai rasa abu tembakau.,Uma poção que escurece o mundo.\nEu posso sentir o gosto cinzento do tabaco.,Una poción que oscurece el mundo.\nPuedo saborear el sabor ceniciento del tabaco.,
5000009,이끼 향이 가득한 포션.\n오래될 수록 더 깊은 향이 난다,"A moss-scented potion.\nThe older it gets, the deeper the taste becomes.","Một lọ thuốc thơm mùi rêu.\n Càng già, mùi hương càng nồng","Ramuan wangi lumut.\nSemakin tua, semakin dalam baunya","Uma poção com cheiro de musgo.\nQuanto mais velho fica, mais profundo é o cheiro","Una poción con aroma a musgo.\nCuanto más envejece, más profundo es el aroma",
5000010,자수정의 아름다움을 담은 포션.,A potion that contains the beauty of amethyst.,Một lọ thuốc có chứa vẻ đẹp của thạch anh tím.,Ramuan yang mengandungi keindahan kecubung.,Uma poção que contém a beleza da ametista.,Una poción que contiene la belleza de la amatista.,
5000011,끔찍한 맛이 날 것 같은 포션.,A potion that tastes horrible.,Một lọ thuốc có vị kinh khủng.,Ramuan yang rasanya mengerikan.,Uma poção que tem um gosto horrível.,Una poción que tiene un sabor horrible.,
